Unidade;Sigla;Competencia
Divisão de Exame Técnico I;DITEC-I;"I - proceder ao exame técnico dos pedidos de registro de marcas, de acordo com a legislação e os procedimentos em vigor;
II - decidir sobre pedidos e conceder registros de marcas, - extinguir registros de marcas;
III - declarar a caducidade dos registros de marcas;
IV - decidir acerca de petições de marcas;
V - homologar a desistência de pedidos de registro;
VI - homologar a renúncia de registros;
VII - arquivar os pedidos de registro;
VIII - propor a instauração de processo administrativo de nulidade de outros registros;
IX - participar de estudos para a implementação de projetos, acordos e tratados relacionados à matéria de sua competência e para o aperfeiçoamento das diretrizes de análise e procedimentos de exame;
X - instruir tecnicamente ações judiciais e outras demandas oficiais;
XI - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação;
XII - propor o aperfeiçoamento dos padrões operacionais, sistemas informatizados e rotinas de trabalho;
XIII - preparar comunicações com organismos internacionais responsáveis por acordos e tratados dos quais o Brasil seja membro, relativas ao exame técnico dos pedidos e registros;
XIV - recepcionar, processar, monitorar e proceder ao exame de certificação dos pedidos internacionais de marcas, das notificações e das comunicações como Escritório de Origem no Protocolo de Madri, em inglês ou espanhol, conforme legislação aplicável;
XV - recepcionar, processar, monitorar e proceder ao exame das designações ao Brasil, e das notificações, comunicações e anotações no âmbito do Protocolo de Madri, no idioma inglês, conforme legislação aplicável;
XVI - recepcionar, processar e examinar anotações de substituição de registro nacional em designação e solicitações de transformação de designação em processo nacional, no âmbito do Protocolo de Madri; e
XVII - realizar acompanhamento técnico de contratos, convênios e projetos relacionados à matéria de sua competência."
Divisão de Exame Técnico II;DITEC-II;"I - proceder ao exame técnico dos pedidos de registro de marcas, de acordo com a legislação e os procedimentos em vigor;
II - decidir sobre pedidos e conceder registros de marcas, - extinguir registros de marcas;
III - declarar a caducidade dos registros de marcas;
IV - decidir acerca de petições de marcas;
V - homologar a desistência de pedidos de registro;
VI - homologar a renúncia de registros;
VII - arquivar os pedidos de registro;
VIII - propor a instauração de processo administrativo de nulidade de outros registros;
IX - participar de estudos para a implementação de projetos, acordos e tratados relacionados à matéria de sua competência e para o aperfeiçoamento das diretrizes de análise e procedimentos de exame;
X - instruir tecnicamente ações judiciais e outras demandas oficiais;
XI - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação;
XII - propor o aperfeiçoamento dos padrões operacionais, sistemas informatizados e rotinas de trabalho;
XIII - preparar comunicações com organismos internacionais responsáveis por acordos e tratados dos quais o Brasil seja membro, relativas ao exame técnico dos pedidos e registros;
XIV - recepcionar, processar, monitorar e proceder ao exame de certificação dos pedidos internacionais de marcas, das notificações e das comunicações como Escritório de Origem no Protocolo de Madri, em inglês ou espanhol, conforme legislação aplicável;
XV - recepcionar, processar, monitorar e proceder ao exame das designações ao Brasil, e das notificações, comunicações e anotações no âmbito do Protocolo de Madri, no idioma inglês, conforme legislação aplicável;
XVI - recepcionar, processar e examinar anotações de substituição de registro nacional em designação e solicitações de transformação de designação em processo nacional, no âmbito do Protocolo de Madri; e
XVII - realizar acompanhamento técnico de contratos, convênios e projetos relacionados à matéria de sua competência."
Divisão de Exame Técnico III;DITEC-III;"I - proceder ao exame técnico dos pedidos de registro de marcas, de acordo com a legislação e os procedimentos em vigor;
II - decidir sobre pedidos e conceder registros de marcas, - extinguir registros de marcas;
III - declarar a caducidade dos registros de marcas;
IV - decidir acerca de petições de marcas;
V - homologar a desistência de pedidos de registro;
VI - homologar a renúncia de registros;
VII - arquivar os pedidos de registro;
VIII - propor a instauração de processo administrativo de nulidade de outros registros;
IX - participar de estudos para a implementação de projetos, acordos e tratados relacionados à matéria de sua competência e para o aperfeiçoamento das diretrizes de análise e procedimentos de exame;
X - instruir tecnicamente ações judiciais e outras demandas oficiais;
XI - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação;
XII - propor o aperfeiçoamento dos padrões operacionais, sistemas informatizados e rotinas de trabalho;
XIII - preparar comunicações com organismos internacionais responsáveis por acordos e tratados dos quais o Brasil seja membro, relativas ao exame técnico dos pedidos e registros;
XIV - recepcionar, processar, monitorar e proceder ao exame de certificação dos pedidos internacionais de marcas, das notificações e das comunicações como Escritório de Origem no Protocolo de Madri, em inglês ou espanhol, conforme legislação aplicável;
XV - recepcionar, processar, monitorar e proceder ao exame das designações ao Brasil, e das notificações, comunicações e anotações no âmbito do Protocolo de Madri, no idioma inglês, conforme legislação aplicável;
XVI - recepcionar, processar e examinar anotações de substituição de registro nacional em designação e solicitações de transformação de designação em processo nacional, no âmbito do Protocolo de Madri; e
XVII - realizar acompanhamento técnico de contratos, convênios e projetos relacionados à matéria de sua competência."
Divisão de Exame Técnico IV;DITEC-IV;"I - proceder ao exame técnico dos pedidos de registro de marcas, de acordo com a legislação e os procedimentos em vigor;
II - decidir sobre pedidos e conceder registros de marcas, - extinguir registros de marcas;
III - declarar a caducidade dos registros de marcas;
IV - decidir acerca de petições de marcas;
V - homologar a desistência de pedidos de registro;
VI - homologar a renúncia de registros;
VII - arquivar os pedidos de registro;
VIII - propor a instauração de processo administrativo de nulidade de outros registros;
IX - participar de estudos para a implementação de projetos, acordos e tratados relacionados à matéria de sua competência e para o aperfeiçoamento das diretrizes de análise e procedimentos de exame;
X - instruir tecnicamente ações judiciais e outras demandas oficiais;
XI - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação;
XII - propor o aperfeiçoamento dos padrões operacionais, sistemas informatizados e rotinas de trabalho;
XIII - preparar comunicações com organismos internacionais responsáveis por acordos e tratados dos quais o Brasil seja membro, relativas ao exame técnico dos pedidos e registros;
XIV - recepcionar, processar, monitorar e proceder ao exame de certificação dos pedidos internacionais de marcas, das notificações e das comunicações como Escritório de Origem no Protocolo de Madri, em inglês ou espanhol, conforme legislação aplicável;
XV - recepcionar, processar, monitorar e proceder ao exame das designações ao Brasil, e das notificações, comunicações e anotações no âmbito do Protocolo de Madri, no idioma inglês, conforme legislação aplicável;
XVI - recepcionar, processar e examinar anotações de substituição de registro nacional em designação e solicitações de transformação de designação em processo nacional, no âmbito do Protocolo de Madri; e
XVII - realizar acompanhamento técnico de contratos, convênios e projetos relacionados à matéria de sua competência."
Coordenação-Geral de Marcas II;CGMAR-II;"I - planejar, coordenar e executar o aperfeiçoamento dos procedimentos administrativos relacionados às competências de suas unidades subordinadas;
II - coordenar e supervisionar o exame técnico dos pedidos de registros nas unidades subordinadas;
III - orientar a aplicação de procedimentos de exame técnico de marcas, desenhos industriais e indicações geográficas, em conjunto com as demais coordenações da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas e com a Coordenação-Geral de Recursos e Processos Administrativos de Nulidade;
IV - identificar e propor o aperfeiçoamento das diretrizes de análise e dos procedimentos de exame técnico;
V - avaliar tecnicamente e coordenar a aplicação de projetos, acordos e tratados no âmbito da propriedade industrial;
VI - subsidiar a participação da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas em atividades, com vistas à maior participação de brasileiros nos sistemas de proteção da propriedade intelectual;
VII - integrar comissões com vistas à eventual implementação de métodos e práticas no âmbito da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas;
VIII - coordenar estudos e fornecer informações de caráter técnico ao pronunciamento do INPI ou do Governo brasileiro sobre a legislação vigente de propriedade industrial, incluindo tratados, acordos e outros instrumentos internacionais congêneres sobre a matéria, bem como acerca das propostas de atos legais, nacionais ou internacionais sobre o assunto, por meio da participação em grupos, comissões ou eventos, de que tome parte o INPI;
IX - realizar a interlocução com organismos internacionais responsáveis por Acordos e Tratados dos quais o Brasil seja membro, no âmbito dos procedimentos técnicos e operacionais de registro; e
X - instaurar de ofício processos administrativos de nulidade."
Divisão de Exame Técnico V;DITEC-V;"I - proceder ao exame técnico dos pedidos de registro de marcas, de acordo com a legislação e os procedimentos em vigor;
II - decidir sobre pedidos e conceder registros de marcas, - extinguir registros de marcas;
III - declarar a caducidade dos registros de marcas;
IV - decidir acerca de petições de marcas;
V - homologar a desistência de pedidos de registro;
VI - homologar a renúncia de registros;
VII - arquivar os pedidos de registro;
VIII - propor a instauração de processo administrativo de nulidade de outros registros;
IX - participar de estudos para a implementação de projetos, acordos e tratados relacionados à matéria de sua competência e para o aperfeiçoamento das diretrizes de análise e procedimentos de exame;
X - instruir tecnicamente ações judiciais e outras demandas oficiais;
XI - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação;
XII - propor o aperfeiçoamento dos padrões operacionais, sistemas informatizados e rotinas de trabalho;
XIII - preparar comunicações com organismos internacionais responsáveis por acordos e tratados dos quais o Brasil seja membro, relativas ao exame técnico dos pedidos e registros;
XIV - recepcionar, processar, monitorar e proceder ao exame de certificação dos pedidos internacionais de marcas, das notificações e das comunicações como Escritório de Origem no Protocolo de Madri, em inglês ou espanhol, conforme legislação aplicável;
XV - recepcionar, processar, monitorar e proceder ao exame das designações ao Brasil, e das notificações, comunicações e anotações no âmbito do Protocolo de Madri, no idioma inglês, conforme legislação aplicável;
XVI - recepcionar, processar e examinar anotações de substituição de registro nacional em designação e solicitações de transformação de designação em processo nacional, no âmbito do Protocolo de Madri; e
XVII - realizar acompanhamento técnico de contratos, convênios e projetos relacionados à matéria de sua competência."
Divisão de Exame Técnico VI;DITEC-VI;"I - proceder ao exame técnico dos pedidos de registro de marcas, de acordo com a legislação e os procedimentos em vigor;
II - decidir sobre pedidos e conceder registros de marcas, - extinguir registros de marcas;
III - declarar a caducidade dos registros de marcas;
IV - decidir acerca de petições de marcas;
V - homologar a desistência de pedidos de registro;
VI - homologar a renúncia de registros;
VII - arquivar os pedidos de registro;
VIII - propor a instauração de processo administrativo de nulidade de outros registros;
IX - participar de estudos para a implementação de projetos, acordos e tratados relacionados à matéria de sua competência e para o aperfeiçoamento das diretrizes de análise e procedimentos de exame;
X - instruir tecnicamente ações judiciais e outras demandas oficiais;
XI - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação;
XII - propor o aperfeiçoamento dos padrões operacionais, sistemas informatizados e rotinas de trabalho;
XIII - preparar comunicações com organismos internacionais responsáveis por acordos e tratados dos quais o Brasil seja membro, relativas ao exame técnico dos pedidos e registros;
XIV - recepcionar, processar, monitorar e proceder ao exame de certificação dos pedidos internacionais de marcas, das notificações e das comunicações como Escritório de Origem no Protocolo de Madri, em inglês ou espanhol, conforme legislação aplicável;
XV - recepcionar, processar, monitorar e proceder ao exame das designações ao Brasil, e das notificações, comunicações e anotações no âmbito do Protocolo de Madri, no idioma inglês, conforme legislação aplicável;
XVI - recepcionar, processar e examinar anotações de substituição de registro nacional em designação e solicitações de transformação de designação em processo nacional, no âmbito do Protocolo de Madri; e
XVII - realizar acompanhamento técnico de contratos, convênios e projetos relacionados à matéria de sua competência."
Divisão de Exame Técnico VII;DITEC-VII;"I - proceder ao exame técnico dos pedidos de registro de marcas, de acordo com a legislação e os procedimentos em vigor;
II - decidir sobre pedidos e conceder registros de marcas, - extinguir registros de marcas;
III - declarar a caducidade dos registros de marcas;
IV - decidir acerca de petições de marcas;
V - homologar a desistência de pedidos de registro;
VI - homologar a renúncia de registros;
VII - arquivar os pedidos de registro;
VIII - propor a instauração de processo administrativo de nulidade de outros registros;
IX - participar de estudos para a implementação de projetos, acordos e tratados relacionados à matéria de sua competência e para o aperfeiçoamento das diretrizes de análise e procedimentos de exame;
X - instruir tecnicamente ações judiciais e outras demandas oficiais;
XI - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação;
XII - propor o aperfeiçoamento dos padrões operacionais, sistemas informatizados e rotinas de trabalho;
XIII - preparar comunicações com organismos internacionais responsáveis por acordos e tratados dos quais o Brasil seja membro, relativas ao exame técnico dos pedidos e registros;
XIV - recepcionar, processar, monitorar e proceder ao exame de certificação dos pedidos internacionais de marcas, das notificações e das comunicações como Escritório de Origem no Protocolo de Madri, em inglês ou espanhol, conforme legislação aplicável;
XV - recepcionar, processar, monitorar e proceder ao exame das designações ao Brasil, e das notificações, comunicações e anotações no âmbito do Protocolo de Madri, no idioma inglês, conforme legislação aplicável;
XVI - recepcionar, processar e examinar anotações de substituição de registro nacional em designação e solicitações de transformação de designação em processo nacional, no âmbito do Protocolo de Madri; e
XVII - realizar acompanhamento técnico de contratos, convênios e projetos relacionados à matéria de sua competência."
Divisão de Exame Técnico VIII;DITEC-VIII;"I - proceder ao exame técnico dos pedidos de registro de marcas, de acordo com a legislação e os procedimentos em vigor;
II - decidir sobre pedidos e conceder registros de marcas, - extinguir registros de marcas;
III - declarar a caducidade dos registros de marcas;
IV - decidir acerca de petições de marcas;
V - homologar a desistência de pedidos de registro;
VI - homologar a renúncia de registros;
VII - arquivar os pedidos de registro;
VIII - propor a instauração de processo administrativo de nulidade de outros registros;
IX - participar de estudos para a implementação de projetos, acordos e tratados relacionados à matéria de sua competência e para o aperfeiçoamento das diretrizes de análise e procedimentos de exame;
X - instruir tecnicamente ações judiciais e outras demandas oficiais;
XI - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação;
XII - propor o aperfeiçoamento dos padrões operacionais, sistemas informatizados e rotinas de trabalho;
XIII - preparar comunicações com organismos internacionais responsáveis por acordos e tratados dos quais o Brasil seja membro, relativas ao exame técnico dos pedidos e registros;
XIV - recepcionar, processar, monitorar e proceder ao exame de certificação dos pedidos internacionais de marcas, das notificações e das comunicações como Escritório de Origem no Protocolo de Madri, em inglês ou espanhol, conforme legislação aplicável;
XV - recepcionar, processar, monitorar e proceder ao exame das designações ao Brasil, e das notificações, comunicações e anotações no âmbito do Protocolo de Madri, no idioma inglês, conforme legislação aplicável;
XVI - recepcionar, processar e examinar anotações de substituição de registro nacional em designação e solicitações de transformação de designação em processo nacional, no âmbito do Protocolo de Madri; e
XVII - realizar acompanhamento técnico de contratos, convênios e projetos relacionados à matéria de sua competência."
Coordenação-Geral de Desenhos Industriais, Indicações Geográficas e Protocolo de Madri;CGDIP;"I - planejar, coordenar e executar o aperfeiçoamento dos procedimentos administrativos relacionados às competências de suas unidades subordinadas;
II - coordenar e supervisionar o exame técnico dos pedidos de registros nas unidades subordinadas;
III - orientar a aplicação de procedimentos de exame técnico de marcas, desenhos industriais e indicações geográficas, em conjunto com as demais coordenações da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas e com a Coordenação-Geral de Recursos e Processos Administrativos de Nulidade;
IV - identificar e propor o aperfeiçoamento das diretrizes de análise e dos procedimentos de exame técnico;
V - avaliar tecnicamente e coordenar a aplicação de projetos, acordos e tratados no âmbito da propriedade industrial;
VI - subsidiar a participação da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas em atividades, com vistas à maior participação de brasileiros nos sistemas de proteção da propriedade intelectual;
VII - integrar comissões com vistas à eventual implementação de métodos e práticas no âmbito da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas;
VIII - coordenar estudos e fornecer informações de caráter técnico ao pronunciamento do INPI ou do Governo brasileiro sobre a legislação vigente de propriedade industrial, incluindo tratados, acordos e outros instrumentos internacionais congêneres sobre a matéria, bem como acerca das propostas de atos legais, nacionais ou internacionais sobre o assunto, por meio da participação em grupos, comissões ou eventos, de que tome parte o INPI;
IX - realizar a interlocução com organismos internacionais responsáveis por Acordos e Tratados dos quais o Brasil seja membro, no âmbito dos procedimentos técnicos e operacionais de registro; e
X - instaurar de ofício processos administrativos de nulidade."
Divisão de Exame Técnico IX;DITEC-IX;"I - proceder ao exame técnico dos pedidos de registro de marcas, de acordo com a legislação e os procedimentos em vigor;
II - decidir sobre pedidos e conceder registros de marcas, - extinguir registros de marcas;
III - declarar a caducidade dos registros de marcas;
IV - decidir acerca de petições de marcas;
V - homologar a desistência de pedidos de registro;
VI - homologar a renúncia de registros;
VII - arquivar os pedidos de registro;
VIII - propor a instauração de processo administrativo de nulidade de outros registros;
IX - participar de estudos para a implementação de projetos, acordos e tratados relacionados à matéria de sua competência e para o aperfeiçoamento das diretrizes de análise e procedimentos de exame;
X - instruir tecnicamente ações judiciais e outras demandas oficiais;
XI - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação;
XII - propor o aperfeiçoamento dos padrões operacionais, sistemas informatizados e rotinas de trabalho;
XIII - preparar comunicações com organismos internacionais responsáveis por acordos e tratados dos quais o Brasil seja membro, relativas ao exame técnico dos pedidos e registros;
XIV - recepcionar, processar, monitorar e proceder ao exame de certificação dos pedidos internacionais de marcas, das notificações e das comunicações como Escritório de Origem no Protocolo de Madri, em inglês ou espanhol, conforme legislação aplicável;
XV - recepcionar, processar, monitorar e proceder ao exame das designações ao Brasil, e das notificações, comunicações e anotações no âmbito do Protocolo de Madri, no idioma inglês, conforme legislação aplicável;
XVI - recepcionar, processar e examinar anotações de substituição de registro nacional em designação e solicitações de transformação de designação em processo nacional, no âmbito do Protocolo de Madri; e
XVII - realizar acompanhamento técnico de contratos, convênios e projetos relacionados à matéria de sua competência."
Divisão de Exame Técnico X;DITEC-X;"I - proceder ao exame técnico dos pedidos de registro de marcas, de acordo com a legislação e os procedimentos em vigor;
II - decidir sobre pedidos e conceder registros de marcas, - extinguir registros de marcas;
III - declarar a caducidade dos registros de marcas;
IV - decidir acerca de petições de marcas;
V - homologar a desistência de pedidos de registro;
VI - homologar a renúncia de registros;
VII - arquivar os pedidos de registro;
VIII - propor a instauração de processo administrativo de nulidade de outros registros;
IX - participar de estudos para a implementação de projetos, acordos e tratados relacionados à matéria de sua competência e para o aperfeiçoamento das diretrizes de análise e procedimentos de exame;
X - instruir tecnicamente ações judiciais e outras demandas oficiais;
XI - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação;
XII - propor o aperfeiçoamento dos padrões operacionais, sistemas informatizados e rotinas de trabalho;
XIII - preparar comunicações com organismos internacionais responsáveis por acordos e tratados dos quais o Brasil seja membro, relativas ao exame técnico dos pedidos e registros;
XIV - recepcionar, processar, monitorar e proceder ao exame de certificação dos pedidos internacionais de marcas, das notificações e das comunicações como Escritório de Origem no Protocolo de Madri, em inglês ou espanhol, conforme legislação aplicável;
XV - recepcionar, processar, monitorar e proceder ao exame das designações ao Brasil, e das notificações, comunicações e anotações no âmbito do Protocolo de Madri, no idioma inglês, conforme legislação aplicável;
XVI - recepcionar, processar e examinar anotações de substituição de registro nacional em designação e solicitações de transformação de designação em processo nacional, no âmbito do Protocolo de Madri; e
XVII - realizar acompanhamento técnico de contratos, convênios e projetos relacionados à matéria de sua competência."
Divisão de Exame Técnico de Desenhos Industriais;DITDI;"I - proceder ao exame de mérito, a pedido do titular, de desenhos industriais registrados pelo INPI, de acordo com a legislação e os procedimentos em vigor, e propor a instauração, de ofício, de processo administrativo de nulidade do registro quando constatada a ausência de pelo menos um dos requisitos estabelecidos nos art. 95 a art. 98 da Lei nº 9.279, de 1996;
II - decidir sobre pedidos e conceder registros de desenhos industriais;
III - extinguir registros de desenhos industriais;
IV - decidir acerca de petições de desenhos industriais;
V - homologar a desistência de pedidos de registro;
VI - homologar a renúncia de registros;
VII - arquivar os pedidos de registro;
VIII - propor a instauração de processo administrativo de nulidade de outros registros;
IX - participar de estudos para a implementação de projetos, acordos e tratados relacionados à matéria de sua competência e para o aperfeiçoamento das diretrizes de análise e procedimentos de exame;
X - instruir tecnicamente ações judiciais e outras demandas oficiais;
XI - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos processos administrativos de nulidade e dos recursos administrativos inerentes à sua área de atuação;
XII - propor o aperfeiçoamento dos padrões operacionais, sistemas informatizados e rotinas de trabalho;
XIII - indexar as publicações de arquivamento, indeferimento e concessão de desenho industrial;
XIV - atribuir a classificação mais adequada aos pedidos de registro de desenho industrial;
XV - preparar comunicações com organismos internacionais responsáveis por acordos e tratados dos quais o Brasil seja membro, relativas ao exame técnico dos pedidos e registros;
XVI - recepcionar, processar, monitorar e proceder ao exame das designações ao Brasil, e das notificações, comunicações e anotações no âmbito do Acordo de Haia, no idioma inglês, conforme legislação aplicável; e
XVII - realizar acompanhamento técnico de contratos, convênios e projetos relacionados à matéria de sua competência."
Divisão de Exame Técnico de Indicações Geográficas;DITIG;"I - proceder ao exame técnico dos pedidos de registro de indicações geográficas, de acordo com a legislação e os procedimentos em vigor;
II - decidir sobre pedidos e conceder registros de indicações geográficas;
III - decidir acerca de petições de indicações geográficas;
IV - homologar a desistência de pedidos de registro;
V - homologar a renúncia de registros;
VI - arquivar os pedidos de registro;
VII - participar de estudos para a implementação de projetos, acordos e tratados relacionados à matéria de sua competência e para o aperfeiçoamento das diretrizes de análise e procedimentos de exame;
VIII - instruir tecnicamente ações judiciais e outras demandas oficiais;
IX - fornecer subsídios, quando solicitado pela unidade competente, para a instrução dos recursos administrativos inerentes à sua área de atuação;
X - propor o aperfeiçoamento dos padrões operacionais, sistemas informatizados e rotinas de trabalho;
XI - orientar o público com relação aos mecanismos de proteção e formalização do registro de indicação geográfica; e
XII - realizar acompanhamento técnico de contratos, convênios e projetos relacionados à matéria de sua competência."
Coordenação-Geral de Governança Setorial de Marcas, Desenhos Industriais e Indicações Geográficas;CGGOV-DIRMA;"I - planejar, coordenar e executar o aperfeiçoamento dos procedimentos administrativos relacionados às competências de suas unidades subordinadas;
II - assistir o Diretor de Marcas, Desenhos Industriais e Indicações Geográficas na supervisão e coordenação das atividades das unidades integrantes da estrutura da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas;
III - planejar, coordenar e executar as atividades que auxiliem a atuação institucional da Diretoria Marcas, Desenhos Industriais e Indicações Geográficas;
IV - coordenar os assuntos submetidos ao Diretor de Marcas, Desenhos Industriais e Indicações Geográficas, promovendo a interação entre as unidades do INPI;
V - assistir o Diretor de Marcas, Desenhos Industriais e Indicações Geográficas na definição das diretrizes e na implementação das ações da área de competência da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas;
VI - assistir o Diretor de Marcas, Desenhos Industriais e Indicações Geográficas na coordenação do processo de planejamento setorial e definições de metas da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas;
VII - supervisionar as atividades de relacionamento com as partes interessadas;
VIII - avaliar tecnicamente e coordenar a aplicação de projetos, acordos e tratados no âmbito da propriedade industrial;
IX - subsidiar a participação da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas em atividades, com vistas à maior participação de brasileiros nos sistemas de proteção da propriedade intelectual;
X - integrar comissões com vistas à eventual implementação de métodos e práticas no âmbito da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas;
XI - supervisionar as atividades dos grupos de trabalho e pontos focais da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas;
XII - controlar o acesso aos sistemas internos e dados da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas; e
XIII - coordenar e executar as atividades de elaboração e monitoramento de indicadores operacionais e de gestão da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas."
Coordenação de Relacionamento Setorial;COREL;"I - planejar, coordenar e executar o aperfeiçoamento dos procedimentos administrativos relacionados às competências de suas unidades subordinadas;
II - coordenar e supervisionar as atividades de atendimento ao usuário no âmbito da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas;
III - coordenar e supervisionar ações de relacionamento estratégico com as partes interessadas no âmbito da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas;
IV - -monitorar e gerenciar as necessidades e expectativas das partes interessadas no âmbito da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas; e
V - monitorar e avaliar a satisfação dos usuários, ajustando os processos de atendimento com base em indicadores de desempenho e feedbacks recebidos."
Serviço de Relacionamento Setorial;SEREL;"I - prestar atendimento e orientação aos usuários em relação às competências da Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas;
II - atender aos requerimentos de atendimento telepresencial de competência desta Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas;
III - propor o aperfeiçoamento dos padrões operacionais, sistemas informatizados e rotinas de trabalho, que digam respeito às suas competências; e
IV - instruir tecnicamente ações judiciais e outras demandas oficiais, quando solicitado."
Coordenação de Gestão de Regras de Negócio e Automação;COGEN;"I - planejar, coordenar e executar o aperfeiçoamento dos procedimentos administrativos relacionados às competências de suas unidades subordinadas;
II - planejar e coordenar as atividades de administração, atualização e controle dos fluxos de trabalho nos sistemas em uso pela Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas;
III - coordenar e supervisionar as atividades de aperfeiçoamento dos sistemas em uso pela Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas;
IV - coordenar e supervisionar as atividades de gestão das regras de negócio aplicáveis aos sistemas em uso pela Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas; e
V - participar da instrução técnica de ações judiciais e outras solicitações oficiais, quando solicitado."
Divisão de Gestão de Fluxos e Dados;DIGEF;"I - proceder à administração, à atualização e ao controle dos fluxos de trabalho nos sistemas em uso pela Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas;
II - identificar e propor o aprimoramento das regras de negócio aplicáveis aos sistemas em uso pela Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas;
III - monitorar a tramitação dos pedidos, registros e petições;
IV - propor o aperfeiçoamento dos padrões operacionais, sistemas informatizados e rotinas de trabalho, que digam respeito às suas competências; e
V - instruir tecnicamente ações judiciais e outras demandas oficiais, quando solicitado."
Coordenação de Normatização Técnica e Conformidade;CNOC;"I - planejar, coordenar e executar o aperfeiçoamento dos procedimentos administrativos relacionados às competências de suas unidades subordinadas;
II - coordenar o processo de normatização técnica de marcas, desenhos industriais e indicações geográficas;
III - coordenar e executar atividades para a definição da agenda regulatória de marcas, desenhos industriais e indicações geográficas;
IV - coordenar e executar atividades para a elaboração de propostas legislativas sobre marcas, desenhos industriais e indicações geográficas;
V - coordenar e executar atividades para a avaliação da conveniência de assinatura, ratificação e denúncia de convenções, tratados, convênios e acordos sobre marcas, desenhos industriais e indicações geográficas;
VI - coordenar a elaboração, o monitoramento e a avaliação de normativos sobre marcas, desenhos industriais e indicações geográficas;
VII - coordenar a gestão e a promoção da harmonização interna de procedimentos técnicos sobre marcas, desenhos industriais e indicações geográficas;
VIII - coordenar a avaliação da conformidade técnica do exame de marcas, de desenhos industriais e de indicações geográficas;
IX - formular os posicionamentos técnicos sobre marcas, desenhos industriais e indicações geográficas; e
X - orientar a aplicação de procedimentos de exame técnico de marcas, desenhos industriais e indicações geográficas, em conjunto com as demais coordenações da Diretoria de marcas, desenhos industriais e indicações geográficas e com a Coordenação-Geral de Recursos e Processos Administrativos de Nulidade."
Serviço de Normatização Técnica;SENOT;"I - executar o processo de normatização infralegal de marcas, desenhos industriais e indicações geográficas;
II - elaborar, monitorar e avaliar normativos sobre marcas, desenhos industriais e indicações geográficas, conforme requisitos técnicos definidos pelas áreas finalísticas; e
III - auxiliar a formulação de posicionamentos técnicos sobre marcas, desenhos industriais e indicações geográficas."
